pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.1,0.4,0.2,65422.12090646412,65558.86931561524,-0.20902472627971594
0.1,0.4,0.30000000000000004,67459.36634867343,67012.67297847726,0.6621665668891241
0.1,0.4,0.4,67932.0428726532,68317.9264618615,-0.5680435518944807
0.1,0.4,0.5,69402.12686989385,69474.62976576798,-0.10446782994136539
0.1,0.4,0.6000000000000001,70113.32443869639,70482.78289019669,-0.5269447062424341
0.1,0.4,0.7000000000000001,71020.77988404858,71342.38583514764,-0.45283359549715857
0.1,0.4,0.8,72391.93151767104,72053.43860062081,0.46758376238048327
0.1,0.4,0.9,72424.52632847172,72615.9411866162,-0.26429563001398
0.1,0.4,1.0,73199.4353002423,73029.89359313383,0.2316161407708366
0.1,0.5,0.0,62425.086696653816,62649.07247008594,-0.35880730854336657
0.1,0.5,0.1,64481.896505349134,64626.075002505386,-0.2235953111960526
0.1,0.5,0.2,66105.64095908428,66421.19112861413,-0.4773422735968213
0.1,0.5,0.30000000000000004,67617.22520984159,68034.42084841216,-0.6169960942287358
0.1,0.5,0.4,69775.85464496675,69465.7641618995,0.4444094373978691
0.1,0.5,0.5,70397.93250494052,70715.22106907614,-0.4507072194390919
0.1,0.5,0.6000000000000001,71200.73890548105,71782.7915699421,-0.8174812135499402
0.1,0.5,0.7000000000000001,72314.00308260914,72668.47566449735,-0.4901852570425074
0.1,0.5,0.8,73404.77395292572,73372.2733527419,0.04427586713183223
0.1,0.5,0.9,73098.55485697147,73894.18463467577,-1.0884343462891495
0.1,0.5,1.0,74823.49552881865,74234.20951029891,0.7875681486876921
0.1,0.6000000000000001,0.0,63239.058846711676,62729.471183947695,0.8058115855253255
0.1,0.6000000000000001,0.1,65095.23125450061,65034.46432948881,0.09335080902351627
0.1,0.6000000000000001,0.2,67705.20411521048,67091.01960978365,0.9071451943069366
0.1,0.6000000000000001,0.30000000000000004,68048.70973126548,68899.13702483216,-1.2497331645598362
0.1,0.6000000000000001,0.4,71138.00946259692,70458.81657463437,0.9547538553488142
0.1,0.6000000000000001,0.5,71431.67094813887,71770.05825919028,-0.47372167913737856
0.1,0.6000000000000001,0.6000000000000001,72976.30066880315,72832.8620784999,0.19655503086438522
0.1,0.6000000000000001,0.7000000000000001,73800.9084380649,73647.22803256322,0.208236468566854
0.1,0.6000000000000001,0.8,74446.17252095138,74213.15612138022,0.31299983824633154
0.1,0.6000000000000001,0.9,74440.4353273858,74530.64634495095,-0.12118550512017127
0.1,0.6000000000000001,1.0,74851.36599799273,74599.69870327537,0.33622271465842535
0.1,0.7000000000000001,0.0,62507.27043367135,62446.80759304316,0.09672929278259079
0.1,0.7000000000000001,0.1,64661.067105717055,65181.68345422577,-0.8051465461551062
0.1,0.7000000000000001,0.2,67689.7330835752,67568.35475912379,0.17931570848647946
0.1,0.7000000000000001,0.30000000000000004,70195.28293725807,69606.82150773722,0.8383204752473721
0.1,0.7000000000000001,0.4,71709.79173667739,71297.08370006608,0.5755253593913592
0.1,0.7000000000000001,0.5,72495.03670207856,72639.14133611036,-0.19877862069923913
0.1,0.7000000000000001,0.6000000000000001,73455.84162996123,73632.99441587008,-0.2411690914948221
0.1,0.7000000000000001,0.7000000000000001,73738.64419979166,74278.64293934521,-0.732314440295992
0.1,0.7000000000000001,0.8,75003.24616335238,74576.08690653577,0.5695210256450537
0.1,0.7000000000000001,0.9,75162.91485496092,74525.32631744175,0.8482754277817762
0.1,0.7000000000000001,1.0,74118.02399943497,74126.36117206315,-0.011248509037747944
0.1,0.8,0.0,62267.430930523275,61801.08169737233,0.7489456786346153
0.1,0.8,0.1,65419.52402833402,65067.732376716216,0.5377471891501927
0.1,0.8,0.2,67673.98734309415,67853.19657663454,-0.2648125824651506
